skull,45,136.223
skull,45,173.306
skull,45,133.340
skull,45,136.289
skull,45,143.176
skull,40,92.174
skull,40,91.296
skull,40,117.566
skull,40,85.073
skull,40,110.245
skull,35,54.774
skull,35,68.247
skull,35,68.957
skull,35,53.733
skull,35,47.068
skull,30,33.976
skull,30,36.210
skull,30,35.991
skull,30,32.833
skull,30,33.654
skull,25,16.779
skull,25,16.976
skull,25,16.060
skull,25,14.941
skull,25,13.541
skull,20,6.423
skull,20,7.030
skull,20,6.293
skull,20,6.862
skull,20,6.062
skull,15,2.038
skull,15,2.050
skull,15,2.186
skull,15,2.201
skull,15,1.874
skull,10,0.631
skull,10,0.633
skull,10,0.650
skull,10,0.638
skull,10,0.653
skull,5,0.279
skull,5,0.262
skull,5,0.265
skull,5,0.282
skull,5,0.262
skull,1,0.123
skull,1,0.123
skull,1,0.116
skull,1,0.122
skull,1,0.115
